Markdown,Unicode,
:clock2:,U+1F55E,
:clock330:,U+1F554,
:clock5:,U+1F561,
:clock630:,U+1F557,
:clock8:,U+1F564,
:clock930:,U+00AE,
:registered:,U+2757,
:heavy_exclamation_mark:,U+2B55,
:o:,U+2796,
:heavy_minus_sign:,U+1F4AF,
:100:,U+1F518,
:radio_button:,U+3030,
:wavy_dash:,#N/A,
:black_square:,U+1F532,
:black_square_button:,U+26AA,
:white_circle:,U+1F537,
:large_blue_diamond:,U+1F538,
:small_orange_diamond:,#N/A,
:shipit:,U+1F606,
:laughing:,U+263A,
:relaxed:,U+1F618,
:kissing_heart:,U+1F60C,
:relieved:,U+1F609,
:wink:,U+1F600,
:grinning:,U+1F61B,
:stuck_out_tongue:,U+1F626,
:frowning:,U+1F62C,
:grimacing:,U+1F611,
:expressionless:,U+1F613,
:sweat:,U+1F614,
:pensive:,U+1F628,
:fearful:,U+1F622,
:cry:,U+1F632,
:astonished:,U+1F62B,
:tired_face:,U+1F624,
:triumph:,U+1F637,
:mask:,U+1F47F,
:imp:,U+1F636,
:no_mouth:,U+1F49B,
:yellow_heart:,U+2764,
:heart:,U+1F493,
:heartbeat:,U+1F49E,
:revolving_hearts:,U+2728,
:sparkles:,U+1F4AB,
:dizzy:,U+1F4A2,
:anger:,U+2755,
:grey_exclamation:,U+1F4A8,
:dash:,U+1F3B5,
:musical_note:,U+1F4A9,
:poop:,U+1F44D,
:thumbsup:,U+1F44C,
:ok_hand:,U+270A,
:fist:,U+270B,
:hand:,U+261D,
:point_up:,U+1F449,
:point_right:,U+1F446,
:point_up_2:,U+1F918,
:metal:,U+1F3C3,
:runner:,U+1F46A,
:family:,U+1F483,
:dancer:,U+1F645,
:no_good:,U+1F470 U+200D U+2640 U+FE0F,
:bride_with_veil:,U+1F647,
:bow:,U+1F486,
:massage:,U+1F466,
:boy:,U+1F468,
:man:,U+1F474,
:older_man:,U+1F473 U+200D U+2642 U+FE0F,
:man_with_turban:,U+1F47C,
:angel:,U+1F638,
:smile_cat:,U+1F63C,
:smirk_cat:,U+1F639,
:joy_cat:,U+1F47A,
:japanese_goblin:,U+1F64A,
:speak_no_evil:,U+1F43E,
:feet:,U+1F4A7,
:droplet:,U+1F443,
:nose:,U+1F464,
:bust_in_silhouette:,U+1F4AD,
:thought_balloon:,#N/A,
:goberserk:,#N/A,
:rage1:,#N/A,
:rage4:,U+2601,
:cloud:,U+26A1,
:zap:,U+1F30A,
:ocean:,U+1F42D,
:mouse:,U+1F43A,
:wolf:,U+1F428,
:koala:,U+1F43D,
:pig_nose:,U+1F435,
:monkey_face:,U+1F40E,
:racehorse:,U+1F418,
:elephant:,U+1F426,
:bird:,U+1F423,
:hatching_chick:,U+1F422,
:turtle:,U+1F41C,
:ant:,U+1F419,
:octopus:,U+1F433,
:whale:,U+1F404,
:cow2:,U+1F403,
:water_buffalo:,U+1F409,
:dragon:,U+1F415,
:dog2:,U+1F402,
:ox:,U+1F40A,
:crocodile:,U+1F408,
:cat2:,U+1F490,
:bouquet:,U+1F340,
:four_leaf_clover:,U+1F33A,
:hibiscus:,U+1F342,
:fallen_leaf:,U+1F335,
:cactus:,U+1F333,
:deciduous_tree:,U+1F33C,
:blossom:,U+1F310,
:globe_with_meridians:,U+1F31A,
:new_moon_with_face:,U+1F313,
:first_quarter_moon:,U+1F316,
:waning_gibbous_moon:,U+1F31C,
:last_quarter_moon_with_face:,U+1F30D,
:earth_africa:,U+1F30B,
:volcano:,#N/A,
:octocat:,U+1F38E,
:dolls:,U+1F38F,
:flags:,U+1F390,
:wind_chime:,U+1F47B,
:ghost:,U+1F381,
:gift:,U+1F38B,
:tanabata_tree:,U+1F388,
:balloon:,U+1F4C0,
:dvd:,U+1F4F9,
:video_camera:,U+1F4FA,
:tv:,U+260E,
:telephone:,U+1F4E0,
:fax:,U+1F509,
:sound:,U+1F4E2,
:loudspeaker:,U+23F3,
:hourglass_flowing_sand:,U+1F4FB,
:radio:,U+1F50D,
:mag:,U+1F512,
:lock:,U+1F511,
:key:,U+1F506,
:high_brightness:,U+1F50B,
:battery:,U+1F4EB,
:mailbox:,U+1F6C1,
:bathtub:,U+1F527,
:wrench:,U+1F4BA,
:seat:,U+1F4B5,
:dollar:,U+1F4B3,
:credit_card:,U+1F4E5,
:inbox_tray:,U+1F4E8,
:incoming_envelope:,U+1F4EC,
:mailbox_with_mail:,U+1F6AC,
:smoking:,U+1F52A,
:hocho:,U+1F4C4,
:page_facing_up:,U+1F4CA,
:bar_chart:,U+1F4DC,
:scroll:,U+1F4C5,
:date:,U+1F4C2,
:open_file_folder:,U+1F4CE,
:paperclip:,U+1F4CF,
:straight_ruler:,U+1F4D7,
:green_book:,U+1F4D3,
:notebook:,U+1F4DA,
:books:,U+1F52C,
:microscope:,U+1F3C8,
:football:,U+26BE,
:baseball:,U+1F3C9,
:rugby_football:,U+1F6B5,
:mountain_bicyclist:,U+1F3C2,
:snowboarder:,U+1F3BF,
:ski:,U+2663,
:clubs:,U+1F48D,
:ring:,U+1F3B9,
:musical_keyboard:,U+1F3AE,
:video_game:,U+1F3B2,
:game_die:,U+1F3AC,
:clapper:,U+1F4D6,
:book:,U+1F3A7,
:headphones:,U+1F3B8,
:guitar:,U+1F460,
:high_heel:,U+1F455,
:shirt:,U+1F45A,
:womans_clothes:,U+1F456,
:jeans:,U+1F380,
:ribbon:,U+1F452,
:womans_hat:,U+1F4BC,
:briefcase:,U+1F45B,
:purse:,U+2615,
:coffee:,U+1F37C,
:baby_bottle:,U+1F378,
:cocktail:,U+1F374,
:fork_and_knife:,U+1F35F,
:fries:,U+1F35D,
:spaghetti:,U+1F371,
:bento:,U+1F359,
:rice_ball:,U+1F35C,
:ramen:,U+1F361,
:dango:,U+1F369,
:doughnut:,U+1F368,
:ice_cream:,U+1F370,
:cake:,U+1F36C,
:candy:,U+1F34E,
:apple:,U+1F34B,
:lemon:,U+1F349,
:watermelon:,U+1F348,
:melon:,U+1F34D,
:pineapple:,U+1F345,
:tomato:,U+1F3EB,
:school:,U+1F3E5,
:hospital:,U+1F3E9,
:love_hotel:,U+26EA,
:church:,U+1F307,
:city_sunrise:,U+1F3F0,
:european_castle:,U+1F5FC,
:tokyo_tower:,U+1F304,
:sunrise_over_mountains:,U+1F5FD,
:statue_of_liberty:,U+1F308,
:rainbow:,U+1F3A2,
:roller_coaster:,U+26F5,
:boat:,U+2693,
:anchor:,U+1F681,
:helicopter:,U+1F69E,
:mountain_railway:,U+1F69F,
:suspension_railway:,U+1F699,
:blue_car:,U+1F697,
:red_car:,U+1F69B,
:articulated_lorry:,U+1F6A8,
:rotating_light:,U+1F692,
:fire_engine:,U+1F69A,
:truck:,U+1F686,
:train2:,U+1F688,
:light_rail:,U+1F68E,
:trolleybus:,U+1F6A6,
:vertical_traffic_light:,U+1F6A7,
:construction:,U+1F3B0,
:slot_machine:,U+2668,
:hotsprings:,U+1F3EE,
:izakaya_lantern:,U+1F3AD,
:performing_arts:,U+1F1EF U+1F1F5,
:jp:,U+1F1FA U+1F1F8,
:us:,U+1F1EE U+1F1F9,
:it:,U+1F1EC U+1F1E7,
:uk:,U+0033 U+FE0F U+20E3,
:three:,U+0036 U+FE0F U+20E3,
:six:,U+0039 U+FE0F U+20E3,
:nine:,U+0030 U+FE0F U+20E3,
:zero:,U+25C0,
:arrow_backward:,U+2B05,
:arrow_left:,U+1F524,
:abc:,U+27A1,
:arrow_right:,U+2197,
:arrow_upper_right:,U+1F53D,
:arrow_down_small:,U+21A9,
:leftwards_arrow_with_hook:,U+2195,
:arrow_up_down:,U+1F504,
:arrows_counterclockwise:,U+2139,
:information_source:,U+1F501,
:repeat:,U+1F51D,
:top:,U+1F193,
:free:,U+1F201,
:koko:,U+1F234,
:u5408:,U+1F237,
:u6708:,U+1F21A,
:u7121:,U+1F232,
:u7981:,U+1F6B9,
:mens:,U+1F6AD,
:no_smoking:,U+1F687,
:metro:,U+1F6BE,
:wc:,U+3299,
:secret:,U+1F6C2,
:passport_control:,U+1F250,
:ideograph_advantage:,U+1F194,
:id:,U+1F4F5,
:no_mobile_phones:,U+1F6B3,
:no_bicycles:,U+26D4,
:no_entry:,U+1F49F,
:heart_decoration:,U+1F4F4,
:mobile_phone_off:,U+2648,
:aries:,U+264B,
:cancer:,U+264E,
:libra:,U+2651,
:capricorn:,U+26CE,
:ophiuchus:,U+1F170,
:a:,U+1F17E,
:o2:,U+1F51A,
:end:,U+1F550,
:clock1:,U+1F565,
:clock1030:,U+1F55B,
:clock12:,U+1F55D,
:clock230:,U+1F553,
:clock4:,U+1F560,
:clock530:,U+1F556,
:clock7:,U+1F563,
:clock830:,U+1F4B2,
:heavy_dollar_sign:,U+2122,
:tm:,U+203C,
:bangbang:,U+2716,
:heavy_multiplication_x:,U+2797,
:heavy_division_sign:,U+2714,
:heavy_check_mark:,U+1F517,
:link:,U+303D,
:part_alternation_mark:,#N/A,
:white_square:,U+1F533,
:white_square_button:,U+1F534,
:red_circle:,U+1F536,
:large_orange_diamond:,U+1F53A,
:small_red_triangle:,,
